city_he,city_en,zone,region_group,lat,lng
באר אורה,Be'er Ora,Aravah,Arava,29.70837,34.98564
עין חצבה,Ein Hatzeva,Aravah,Arava,30.7982,35.24575
עין יהב,Ein Yahav,Aravah,Arava,30.65432,35.23358
"אל עמארני, אל מסק","El Amrani, El Masaq",Aravah,Arava,30.79827,35.23446
אליפז ומכרות תמנע,Elipaz And Timna Mines,Aravah,Arava,29.77744,34.99384
גרופית,Grofit,Aravah,Arava,29.93929,35.06608
חצבה,Hatzeva,Aravah,Arava,30.76994,35.27693
עידן,Idan,Aravah,Arava,30.80378,35.29994
קטורה,Ktura,Aravah,Arava,29.9698,35.06091
לוטן,Lotan,Aravah,Arava,29.98677,35.08796
נאות סמדר,Neot Smadar,Aravah,Arava,30.04995,35.02659
נווה חריף,Neveh Harif,Aravah,Arava,30.03788,35.03626
פארן,Paran,Aravah,Arava,30.36931,35.15167
סמר,Samar,Aravah,Arava,29.83265,35.02287
ספיר,Sapir,Aravah,Arava,30.60714,35.18636
שחרות,Shachrut,Aravah,Arava,29.90486,35.00068
שיטים,Shitim,Aravah,Arava,30.17706,35.01598
צופר,Tzofar,Aravah,Arava,30.56042,35.17836
צוקים,Tzukim,Aravah,Arava,30.48836,35.16809
יהל,Yahel,Aravah,Arava,30.08128,35.12795
יטבתה,Yotvata,Aravah,Arava,29.89582,35.06217
אלמוג,Almog,Dead Sea,Arava,31.78846,35.46099
אבנת,Avnat,Dead Sea,Arava,31.67752,35.43718
בית הערבה,Beit HaArava,Dead Sea,Arava,31.80837,35.47771
בתי מלון ים המלח,Dead Sea Hotels,Dead Sea,Arava,31.16856,35.36734
מלונות ים המלח מרכז,Dead Sea Hotels - Center,Dead Sea,Arava,31.18061,35.36507
עין בוקק,Ein Bokek,Dead Sea,Arava,31.19914,35.3636
עין גדי,Ein Gedi,Dead Sea,Arava,31.45907,35.39479
מרחצאות עין גדי,Ein Gedi Baths,Dead Sea,Arava,31.41705,35.37909
עין תמר,Ein Tamar,Dead Sea,Arava,30.9439,35.36783
חוות מנחם,Havat Menachem,Dead Sea,Arava,31.36427,35.16875
קליה,Kalia,Dead Sea,Arava,31.74805,35.46777
חוף קליה,Kalia Beach,Dead Sea,Arava,31.76086,35.49962
מצדה,Massada,Dead Sea,Arava,31.31176,35.36357
מרכז אזורי מגילות,Megilot Regional Center,Dead Sea,Arava,31.77385,35.50385
